Provinsi,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Papua Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Papua Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,0.0
Sulawesi Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,19.0
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,34890.66
Sumatera Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,2279.35
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,84906.87
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,873.9
Papua Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,9471.42
Aceh,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,115.38
Lampung,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,6364.77
Maluku,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,700.21
Kalimantan Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,9620.48
Daerah Istimewa Yogyakarta,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,43.8
Banten,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,10960.49
Banten,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,16535.18
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,6869.1
Papua,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,15559.06
Kalimantan Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Furnitur Kayu,41720.2
Sumatera Selatan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,218.9
Kalimantan Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1384.89
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Sumatera Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,3070.04
Lampung,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,3012.32
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,51190.76
Aceh,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,817.91
Kalimantan Barat,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,34442.64
Papua Barat,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,2427.38
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1370.8
Jawa Barat,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1539.29
Papua Barat,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Lampung,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Kalimantan Tengah,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Lampung,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,3464.06
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,4482.68
Kalimantan Timur,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,3887.44
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1202.33
Maluku,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,512.81
Aceh,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,303.7
Riau,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,576.03
Kalimantan Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,0.0
Sumatera Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,4755.99
Lampung,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,3062.65
Papua Barat,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,442.93
Kalimantan Selatan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1797.55
Kalimantan Timur,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Furnitur Kayu,961.34
Jawa Timur,Kayu Tanaman,Jenis Kayu Lainnya,Bare Core,Furnitur Kayu,6880.65
Sumatera Selatan,Kayu Tanaman,Jenis Kayu Lainnya,Chipwood,Furnitur Kayu,819850.0
Jambi,Kayu Tanaman,Jenis Kayu Lainnya,Chipwood,Furnitur Kayu,266679.36
Sumatera Utara,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Furnitur Kayu,5401.7
Kalimantan Tengah,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,1954.84
Papua Barat,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,3064.16
Kalimantan Utara,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,119.06
Aceh,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,219.3
Jawa Barat,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,3071.96
Banten,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,0.0
Sumatera Selatan,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,4245.39
Kalimantan Barat,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,24307.14
Riau,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,639.86
Jawa Timur,Kayu Tanaman,Kayu Eboni,Bare Core,Furnitur Kayu,6500.61
Kalimantan Selatan,Kayu Tanaman,Kayu Eboni,Blockboard,Furnitur Kayu,2.68
Aceh,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,577.24
Aceh,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,128.35
Kalimantan Barat,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,2179.87
Papua,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,7343.45
Aceh,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,281.27
Papua,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,14192.77
Banten,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Furnitur Kayu,17432.65
Kalimantan Barat,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,937.02
Lampung,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,2784.2
Jawa Tengah,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,19682.14
Riau,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,437.71
Banten,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,189.12
Lampung,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,3109.26
Sumatera Selatan,Kayu Tanaman,Kayu Eboni,Veneer,Furnitur Kayu,3829.87
Jawa Tengah,Kayu Tanaman,Kayu Indah,Bare Core,Furnitur Kayu,0.0
Jambi,Kayu Tanaman,Kayu Indah,Bare Core,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Kayu Indah,Bare Core,Furnitur Kayu,1095.36
Kalimantan Timur,Kayu Tanaman,Kayu Indah,Blockboard,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kayu Indah,Blockboard,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Kayu Indah,Blockboard,Furnitur Kayu,3261.27
Sumatera Selatan,Kayu Tanaman,Kayu Indah,Chipwood,Furnitur Kayu,864712.92
Lampung,Kayu Tanaman,Kayu Indah,Chipwood,Furnitur Kayu,12726.56
Jawa Tengah,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,0.0
Papua Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,0.0
Papua Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,8916.58
Riau,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,7462.73
Kalimantan Timur,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,8542.97
Papua,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,16620.97
Bengkulu,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,0.0
Sumatera Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,367.25
Lampung,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,7891.74
Kalimantan Tengah,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,9973.18
Kepulauan Riau,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,282.16
Sulawesi Tenggara,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,949.01
Sumatera Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,491.15
Kalimantan Tengah,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Kalimantan Barat,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Bali,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,333.64
Jawa Timur,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,88790.9
Lampung,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,1554.64
Maluku,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Furnitur Kayu,221.24
Gorontalo,Kayu Tanaman,Kayu Indah,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,347.73
Bali,Kayu Tanaman,Kayu Indah,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,55.96
Jawa Timur,Kayu Tanaman,Kayu Indah,Moulding,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Kayu Indah,Moulding,Furnitur Kayu,0.0
Jawa Tengah,Kayu Tanaman,Kayu Indah,Moulding,Furnitur Kayu,0.0
Kalimantan Barat,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,715.75
Sumatera Selatan,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,2214.87
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,165.81
Kalimantan Tengah,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,2710.11
Kalimantan Timur,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,1237.81
Sumatera Selatan,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,6024.4
Nusa Tenggara Barat,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,0.0
Kalimantan Utara,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,95.88
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,155.28
Riau,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,425.58
Riau,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,460.93
Kalimantan Tengah,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,3585.41
Lampung,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,0.0
Sumatera Selatan,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,0.0
Sumatera Selatan,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,4633.02
Riau,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,537.3
Aceh,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,242.75
Kalimantan Timur,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,391.48
Jawa Barat,Kayu Tanaman,Kelompok Meranti,Bare Core,Furnitur Kayu,0.0
Jawa Timur,Kayu Tanaman,Kelompok Meranti,Blockboard,Furnitur Kayu,11877.68
Kalimantan Timur,Kayu Tanaman,Kelompok Meranti,Chipwood,Furnitur Kayu,0.0
Kalimantan Tengah,Kayu Tanaman,Kelompok Meranti,Chipwood,Furnitur Kayu,63248.06
Kalimantan Tengah,Kayu Tanaman,Kelompok Meranti,Chipwood,Furnitur Kayu,59932.09
Kalimantan Timur,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,3989.63
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,416.78
Riau,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,5876.57
Kalimantan Timur,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,5891.06
Jambi,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,4821.3
Kalimantan Selatan,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,3061.38
Sulawesi Tenggara,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,1714.4
Riau,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,6052.2
Gorontalo,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,523.52
Lampung,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,6473.11
Bali,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,849.76
Maluku,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,905.56
Maluku Utara,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,665.07
Bengkulu,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,700.23
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,725.55
Jawa Barat,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,3986.14
Lampung,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Furnitur Kayu,0.0
Riau,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Furnitur Kayu,3629.56
Sulawesi Selatan,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Furnitur Kayu,6526.05
Jawa Timur,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Furnitur Kayu,104083.9
Papua,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,186.2
Riau,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,550.67
Sulawesi Tengah,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,0.0
Banten,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,220.93
Aceh,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,1016.17
Aceh,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,593.06
Daerah Istimewa Yogyakarta,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,113.91
Sumatera Selatan,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,4659.23
Banten,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,146.13
Maluku,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,65.19
Jawa Barat,Kayu Tanaman,Rimba Campuran,Blockboard,Furnitur Kayu,46.24
Jawa Barat,Kayu Tanaman,Rimba Campuran,Blockboard,Furnitur Kayu,709.8
Jambi,Kayu Tanaman,Rimba Campuran,Chipwood,Furnitur Kayu,0.0
Lampung,Kayu Tanaman,Rimba Campuran,Chipwood,Furnitur Kayu,0.0
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Chipwood,Furnitur Kayu,37940.17
Sulawesi Tenggara,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,1159.91
Kalimantan Selatan,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,6416.11
Jawa Tengah,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,59036.81
Papua,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,11121.75
Sumatera Barat,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,48.45
Jawa Barat,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,6296.94
Banten,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,9490.5
Bali,Kayu Tanaman,Rimba Campuran,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,0.0
Gorontalo,Kayu Tanaman,Rimba Campuran,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,88.26
Bali,Kayu Tanaman,Rimba Campuran,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,65.68
Gorontalo,Kayu Tanaman,Rimba Campuran,Kayu Olahan Lainnya Berbahan Baku Kayu Bulat,Furnitur Kayu,0.0
Papua,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Daerah Istimewa Yogyakarta,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,107.18
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,803.03
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,550.0
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,419.02
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,350.0
Lampung,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,3476.98
Riau,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,660.63
Jambi,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,4829.14
Bali,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,234.75
Kalimantan Timur,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Lampung,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,2459.17
Banten,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,102.21
Bali,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Maluku,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,0.0
Lampung,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,2649.59
Bali,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,665.26
Kalimantan Tengah,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,4001.6
Jawa Tengah,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,34891.47
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Kerajinan,8110.18
Jawa Barat,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Kerajinan,0.0
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Kerajinan,3178.94
Jawa Barat,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Kerajinan,397.55
Daerah Istimewa Yogyakarta,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Kerajinan,0.0
Kalimantan Selatan,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Kerajinan,0.0
Kalimantan Timur,Kayu Tanaman,Hutan Tanaman Industri,Blockboard,Kerajinan,0.0
Sumatera Selatan,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Kerajinan,931614.79
Kalimantan Tengah,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Kerajinan,51310.46
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Kerajinan,104689.45
Papua Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,5552.03
Sulawesi Tenggara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,489.68
Bali,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,930.7
Bali,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,129.24
Sulawesi Tenggara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,2510.65
Sulawesi Tengah,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,1929.75
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,47493.78
Gorontalo,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,48.07
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,78741.88
Maluku,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,525.68
Bali,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,620.07
Gorontalo,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,20.22
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,25987.7
Sulawesi Selatan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,2214.88
Kalimantan Barat,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,750.43
Bali,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,258.52
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,134537.56
Kalimantan Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,8201.15
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,105528.48
Kalimantan Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,8753.89
Kalimantan Tengah,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,8672.07
Kalimantan Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,11805.44
Sumatera Utara,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,3586.6
Kalimantan Tengah,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,0.0
Sumatera Selatan,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Kerajinan,2612.85
Jawa Tengah,Kayu Tanaman,Hutan Tanaman Industri,Particle Board,Kerajinan,0.0
Jawa Timur,Kayu Tanaman,Hutan Tanaman Industri,Particle Board,Kerajinan,48.91
Bali,Kayu Tanaman,Jenis Kayu Lainnya,Bare Core,Kerajinan,65.88
Jawa Tengah,Kayu Tanaman,Jenis Kayu Lainnya,Blockboard,Kerajinan,9636.43
Jambi,Kayu Tanaman,Jenis Kayu Lainnya,Chipwood,Kerajinan,320833.68
Kalimantan Timur,Kayu Tanaman,Jenis Kayu Lainnya,Chipwood,Kerajinan,418.68
Kalimantan Barat,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,982.43
Papua Barat,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,6085.7
Sulawesi Tengah,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,2435.47
Sumatera Utara,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Kerajinan,3081.2
Kalimantan Timur,Kayu Tanaman,Kayu Eboni,Chipwood,Kerajinan,22770.91
Lampung,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Kerajinan,6258.44
Jawa Barat,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Kerajinan,5345.97
Papua,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Kerajinan,18620.57
Bali,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Kerajinan,419.55
Kalimantan Timur,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Kerajinan,28129.81
Kalimantan Timur,Kayu Tanaman,Kayu Indah,Chipwood,Kerajinan,23124.66
Kalimantan Timur,Kayu Tanaman,Kayu Indah,Chipwood,Kerajinan,0.0
Sumatera Selatan,Kayu Tanaman,Kayu Indah,Chipwood,Kerajinan,855828.67
Kalimantan Barat,Kayu Tanaman,Kayu Indah,Finger Joint Board,Kerajinan,0.0
Kalimantan Timur,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,2781.17
Bali,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,870.68
Papua Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,2321.13
Kalimantan Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,841.57
Kalimantan Utara,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,1062.07
Riau,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,5760.36
Maluku Utara,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,422.9
Sumatera Selatan,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,1191.77
Gorontalo,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,524.59
Sumatera Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,681.24
Jambi,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,2387.51
Kalimantan Utara,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,2573.68
Papua Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,6461.15
Papua Barat,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,11963.88
Kalimantan Utara,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Kerajinan,6650.89
Jawa Timur,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Kerajinan,99309.59
Riau,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Kerajinan,3035.14
Lampung,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Kerajinan,3149.31
Kalimantan Utara,Kayu Tanaman,Kayu Indah,Kayu Lapis dan LVL,Kerajinan,10636.42
