Provinsi,Jenis Hutan,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Sumatera Utara,HKM HD Kemitraan,Kayu Tanaman,Jenis Khusus,Pulp,Bangunan Prefabrikasi,17176.02
Jambi,Hutan Lindung,Kayu Tanaman,Jenis Khusus,Pulp,Chipwood,91117.68
Riau,IUPHHK HA,Kayu Tanaman,Hutan Tanaman Industri,Pulp,Bangunan Prefabrikasi,409816.55
Sumatera Selatan,HKM HD HTR,Setengah Jadi,Rimba Campuran,Pulp,Pulp,275272.64
Sumatera Utara,IUPHHK HTI,Limbah,Rimba Campuran,Pulp,Paper,16107.18
Jambi,IUPHHK RE,Setengah Jadi,Rimba Campuran,Chipwood,Veneer,319909.44
Kalimantan Tengah,Hutan Produksi,Kayu Alam,Hutan Tanaman Industri,Chipwood,Furnitur Kayu,80716.31
Kalimantan Timur,Hutan Produksi,Kayu Perkebunan,Rimba Campuran,Chipwood,Bangunan Prefabrikasi,0.0
Lampung,IUPHHK RE,Kayu Perkebunan,Hutan Tanaman Industri,Chipwood,Panel,8499.82
Papua,IUPHHK RE,Kayu Perkebunan,Kayu Indah,Chipwood,Woodworking,0.0
Papua Barat,HKM HD Kemitraan,Kayu Tanaman,Rimba Campuran,Chipwood,Furnitur Kayu,2101.38
Riau,HKM HD HTR,Kayu Perkebunan,Jenis Khusus,Chipwood,Bangunan Prefabrikasi,2004000.92
Sumatera Selatan,UPHHK HTR,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Kerajinan,998021.46
Sumatera Utara,Hutan Lindung,Kayu Alam,Hutan Tanaman Industri,Chipwood,Woodworking,104968.62
Jambi,UPHHK HTR,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Furnitur Kayu,266679.36
Kalimantan Tengah,IUPHHK HA,Kayu Perkebunan,Rimba Campuran,Chipwood,Chipwood,83616.93
Kalimantan Timur,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Chipwood,Woodworking,0.0
Lampung,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Chipwood,Paper,6846.98
Papua,Hutan Lindung,Kayu Alam,Kayu Indah,Chipwood,Kerajinan,0.0
Papua Barat,HKM HD HTR,Limbah,Hutan Tanaman Industri,Chipwood,Paper,304.83
Riau,Hutan Lindung,Kayu Perkebunan,Kayu Eboni,Chipwood,Kerajinan,1798577.6
Sumatera Selatan,IUPHHK HTI,Kayu Alam,Kayu Indah,Chipwood,Paper,893579.77
Sumatera Utara,HKM HD Kemitraan,Kayu Alam,Kayu Indah,Chipwood,Paper,110298.23
Jambi,HKM HD Kemitraan,Kayu Alam,Hutan Tanaman Industri,Chipwood,Veneer,303249.99
Kalimantan Tengah,Hutan Produksi,Kayu Alam,Rimba Campuran,Chipwood,Woodworking,79665.44
Kalimantan Timur,UPHHK HTR,Kayu Perkebunan,Hutan Tanaman Industri,Chipwood,Chipwood,0.0
Lampung,HKM HD HTR,Setengah Jadi,Rimba Campuran,Chipwood,Woodworking,7186.34
Papua,HKM HD Kemitraan,Limbah,Jenis Khusus,Chipwood,Panel,44.36
Papua Barat,UPHHK HTR,Kayu Tanaman,Kayu Indah,Chipwood,Pulp,2736.25
Riau,UPHHK HTR,Setengah Jadi,Kelompok Meranti,Chipwood,Veneer,2012893.85
Sumatera Selatan,Hutan Produksi,Setengah Jadi,Jenis Kayu Lainnya,Chipwood,Chipwood,758601.8
Sumatera Utara,IUPHHK RE,Limbah,Hutan Tanaman Industri,Chipwood,Chipwood,81751.09
Jambi,IUPHHK HTI,Limbah,Jenis Khusus,Chipwood,Veneer,304520.24
Kalimantan Tengah,HKM HD HTR,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Furnitur Kayu,85842.15
Kalimantan Timur,UPHHK HTR,Kayu Alam,Rimba Campuran,Chipwood,Furnitur Kayu,0.0
Lampung,UPHHK HTR,Kayu Alam,Kelompok Meranti,Chipwood,Paper,9965.2
Papua,Hutan Lindung,Kayu Alam,Jenis Khusus,Chipwood,Veneer,0.0
Papua Barat,HKM HD HTR,Kayu Perkebunan,Rimba Campuran,Chipwood,Bangunan Prefabrikasi,3832.75
Riau,Hutan Produksi,Kayu Tanaman,Jenis Khusus,Chipwood,Woodworking,1922855.82
Sumatera Selatan,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Chipwood,Paper,956270.84
Sumatera Utara,IUPHHK RE,Setengah Jadi,Jenis Khusus,Chipwood,Furnitur Kayu,107092.19
Jambi,IUPHHK HTI,Setengah Jadi,Hutan Tanaman Industri,Chipwood,Kerajinan,279704.41
Kalimantan Tengah,IUPHHK HA,Kayu Alam,Kayu Eboni,Chipwood,Veneer,69880.02
Kalimantan Timur,IUPHHK HTI,Kayu Alam,Kayu Eboni,Chipwood,Paper,632.43
Lampung,Hutan Produksi,Setengah Jadi,Kayu Eboni,Chipwood,Paper,10057.88
Papua,IUPHHK RE,Kayu Perkebunan,Kelompok Meranti,Chipwood,Woodworking,0.0
Papua Barat,Hutan Lindung,Kayu Tanaman,Kayu Indah,Chipwood,Woodworking,1531.68
Riau,HKM HD Kemitraan,Kayu Perkebunan,Rimba Campuran,Chipwood,Woodworking,1801590.49
Sumatera Selatan,IUPHHK RE,Kayu Perkebunan,Jenis Kayu Lainnya,Chipwood,Kerajinan,822850.0
Sumatera Utara,HKM HD Kemitraan,Kayu Tanaman,Kayu Eboni,Chipwood,Bangunan Prefabrikasi,103196.7
Jambi,HKM HD Kemitraan,Kayu Alam,Kelompok Meranti,Chipwood,Bangunan Prefabrikasi,296741.74
Kalimantan Tengah,IUPHHK HTI,Limbah,Rimba Campuran,Chipwood,Veneer,83217.71
Kalimantan Timur,IUPHHK RE,Kayu Perkebunan,Kayu Eboni,Chipwood,Pulp,24725.32
Lampung,IUPHHK HA,Kayu Alam,Jenis Khusus,Chipwood,Pulp,10972.03
Papua,Hutan Lindung,Limbah,Kelompok Meranti,Chipwood,Veneer,0.0
Papua Barat,UPHHK HTR,Kayu Perkebunan,Kayu Eboni,Chipwood,Woodworking,3290.8
Riau,IUPHHK HA,Kayu Alam,Kayu Indah,Chipwood,Panel,1952933.18
Sumatera Selatan,UPHHK HTR,Kayu Perkebunan,Kelompok Meranti,Chipwood,Paper,804977.71
Sumatera Utara,IUPHHK HA,Setengah Jadi,Kayu Indah,Chipwood,Bangunan Prefabrikasi,110377.93
Jambi,UPHHK HTR,Kayu Alam,Rimba Campuran,Chipwood,Pulp,305192.3
Kalimantan Tengah,Hutan Produksi,Kayu Tanaman,Jenis Kayu Lainnya,Chipwood,Panel,87566.53
Kalimantan Timur,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Chipwood,Kerajinan,46697.41
Lampung,UPHHK HTR,Kayu Alam,Kayu Indah,Chipwood,Veneer,12410.5
Papua,Hutan Lindung,Kayu Perkebunan,Kelompok Meranti,Chipwood,Kerajinan,0.0
Papua Barat,UPHHK HTR,Limbah,Kayu Indah,Chipwood,Veneer,1275.69
Riau,Hutan Lindung,Limbah,Rimba Campuran,Chipwood,Chipwood,1938643.23
Sumatera Selatan,Hutan Lindung,Setengah Jadi,Jenis Khusus,Chipwood,Paper,1016094.39
Sumatera Utara,UPHHK HTR,Limbah,Jenis Khusus,Chipwood,Paper,102168.65
Jambi,UPHHK HTR,Setengah Jadi,Hutan Tanaman Industri,Chipwood,Bangunan Prefabrikasi,287186.74
Kalimantan Tengah,Hutan Produksi,Kayu Alam,Jenis Kayu Lainnya,Chipwood,Chipwood,85318.55
Kalimantan Timur,IUPHHK HTI,Limbah,Kayu Eboni,Chipwood,Bangunan Prefabrikasi,45885.05
Lampung,HKM HD Kemitraan,Kayu Alam,Kayu Indah,Chipwood,Chipwood,10476.83
Papua,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Chipwood,Veneer,0.0
Papua Barat,IUPHHK RE,Kayu Tanaman,Hutan Tanaman Industri,Chipwood,Kerajinan,2927.83
Riau,HKM HD Kemitraan,Setengah Jadi,Kayu Eboni,Chipwood,Paper,2007502.95
Sumatera Selatan,Hutan Lindung,Limbah,Kayu Indah,Chipwood,Chipwood,974349.18
Sumatera Utara,IUPHHK HTI,Kayu Alam,Kayu Indah,Chipwood,Bangunan Prefabrikasi,109898.86
Jambi,Hutan Produksi,Kayu Perkebunan,Rimba Campuran,Chipwood,Chipwood,323792.8
Kalimantan Tengah,Hutan Produksi,Setengah Jadi,Hutan Tanaman Industri,Chipwood,Furnitur Kayu,87110.68
Kalimantan Timur,IUPHHK HA,Limbah,Kelompok Meranti,Chipwood,Furnitur Kayu,37940.17
Lampung,IUPHHK HTI,Setengah Jadi,Jenis Khusus,Chipwood,Woodworking,10254.32
Papua,Hutan Lindung,Limbah,Kayu Eboni,Chipwood,Furnitur Kayu,0.0
Papua Barat,IUPHHK HTI,Kayu Tanaman,Kelompok Meranti,Chipwood,Furnitur Kayu,1798.4
Riau,IUPHHK HTI,Kayu Perkebunan,Kayu Indah,Chipwood,Panel,1858286.62
Sumatera Selatan,IUPHHK RE,Limbah,Kayu Eboni,Chipwood,Paper,361604.47
Sumatera Utara,Hutan Produksi,Kayu Alam,Rimba Campuran,Chipwood,Chipwood,107601.93
Jambi,IUPHHK HTI,Limbah,Hutan Tanaman Industri,Chipwood,Bangunan Prefabrikasi,307423.05
Kalimantan Tengah,IUPHHK HTI,Limbah,Rimba Campuran,Chipwood,Furnitur Kayu,80287.16
Kalimantan Timur,IUPHHK RE,Limbah,Kayu Eboni,Chipwood,Panel,43212.42
Lampung,Hutan Lindung,Kayu Alam,Hutan Tanaman Industri,Chipwood,Chipwood,5572.02
Papua,IUPHHK HTI,Kayu Perkebunan,Kelompok Meranti,Chipwood,Chipwood,0.0
Papua Barat,IUPHHK RE,Kayu Alam,Kelompok Meranti,Chipwood,Bangunan Prefabrikasi,2798.26
Riau,UPHHK HTR,Kayu Tanaman,Kayu Indah,Chipwood,Chipwood,1936265.41
Sumatera Selatan,HKM HD Kemitraan,Limbah,Jenis Khusus,Chipwood,Panel,875330.86
Sumatera Utara,HKM HD Kemitraan,Kayu Perkebunan,Hutan Tanaman Industri,Chipwood,Pulp,115879.26
Jambi,IUPHHK HTI,Setengah Jadi,Rimba Campuran,Chipwood,Panel,277840.9
Kalimantan Tengah,IUPHHK HA,Kayu Tanaman,Jenis Khusus,Chipwood,Pulp,62318.13
Kalimantan Timur,HKM HD Kemitraan,Kayu Tanaman,Kayu Indah,Chipwood,Woodworking,58123.2
Lampung,Hutan Produksi,Kayu Tanaman,Kelompok Meranti,Chipwood,Veneer,10362.3
Papua,IUPHHK HTI,Kayu Alam,Jenis Kayu Lainnya,Chipwood,Panel,0.0
Papua Barat,IUPHHK HTI,Kayu Tanaman,Kayu Indah,Chipwood,Bangunan Prefabrikasi,1200.07
Riau,HKM HD HTR,Kayu Perkebunan,Kayu Indah,Chipwood,Kerajinan,1900869.19
Sumatera Selatan,IUPHHK RE,Limbah,Kayu Indah,Chipwood,Panel,956506.85
Sumatera Utara,IUPHHK RE,Kayu Tanaman,Kayu Eboni,Chipwood,Panel,109239.18
Jambi,UPHHK HTR,Limbah,Jenis Kayu Lainnya,Chipwood,Kerajinan,320833.68
Kalimantan Tengah,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Chipwood,Chipwood,73061.16
Kalimantan Timur,IUPHHK HTI,Kayu Tanaman,Kayu Indah,Chipwood,Bangunan Prefabrikasi,39703.6
Lampung,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Chipwood,Woodworking,9499.96
Papua,IUPHHK HTI,Limbah,Hutan Tanaman Industri,Chipwood,Paper,0.0
Papua Barat,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Chipwood,Paper,1555.1
Riau,Hutan Lindung,Limbah,Hutan Tanaman Industri,Chipwood,Veneer,1944431.32
Sumatera Selatan,IUPHHK RE,Kayu Perkebunan,Jenis Khusus,Chipwood,Chipwood,1001797.7
Sumatera Utara,IUPHHK HA,Kayu Alam,Kayu Indah,Chipwood,Kerajinan,108074.57
Aceh,UPHHK HTR,Limbah,Jenis Khusus,Veneer,Bangunan Prefabrikasi,297.24
Bali,IUPHHK RE,Kayu Perkebunan,Kelompok Meranti,Veneer,Kerajinan,665.26
Banten,IUPHHK HTI,Limbah,Kayu Eboni,Veneer,Bangunan Prefabrikasi,248.5
Daerah Istimewa Yogyakarta,IUPHHK HTI,Kayu Perkebunan,Kayu Eboni,Veneer,Panel,187.69
Jambi,HKM HD Kemitraan,Kayu Perkebunan,Rimba Campuran,Veneer,Kerajinan,3767.02
Jawa Barat,HKM HD Kemitraan,Kayu Perkebunan,Rimba Campuran,Veneer,Chipwood,5457.08
Jawa Tengah,Hutan Produksi,Kayu Perkebunan,Jenis Kayu Lainnya,Veneer,Woodworking,34897.87
Jawa Timur,IUPHHK HA,Setengah Jadi,Kelompok Meranti,Veneer,Kerajinan,55082.1
Kalimantan Barat,HKM HD Kemitraan,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Paper,1392.46
Kalimantan Selatan,Hutan Produksi,Limbah,Rimba Campuran,Veneer,Veneer,2247.43
Kalimantan Tengah,IUPHHK HTI,Setengah Jadi,Hutan Tanaman Industri,Veneer,Kerajinan,2146.79
Kalimantan Timur,UPHHK HTR,Kayu Tanaman,Kelompok Meranti,Veneer,Paper,4456.8
Kalimantan Utara,IUPHHK HA,Kayu Alam,Kayu Eboni,Veneer,Chipwood,219.84
Lampung,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Veneer,Veneer,1683.92
Maluku,IUPHHK HA,Kayu Alam,Hutan Tanaman Industri,Veneer,Pulp,0.0
Papua,IUPHHK HA,Kayu Alam,Kelompok Meranti,Veneer,Veneer,5550.67
Sulawesi Selatan,IUPHHK HA,Limbah,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,4482.68
Sumatera Selatan,IUPHHK HTI,Kayu Tanaman,Jenis Khusus,Veneer,Chipwood,2414.9
Sumatera Utara,IUPHHK RE,Kayu Perkebunan,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,750.6
Aceh,HKM HD HTR,Kayu Alam,Hutan Tanaman Industri,Veneer,Panel,492.61
Bali,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Veneer,Paper,317.52
Banten,UPHHK HTR,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Pulp,193.38
Daerah Istimewa Yogyakarta,HKM HD HTR,Kayu Alam,Hutan Tanaman Industri,Veneer,Pulp,153.86
Jambi,IUPHHK HA,Kayu Alam,Kelompok Meranti,Veneer,Kerajinan,3456.46
Jawa Barat,IUPHHK HA,Kayu Alam,Hutan Tanaman Industri,Veneer,Paper,4243.93
Jawa Tengah,IUPHHK HA,Kayu Alam,Rimba Campuran,Veneer,Kerajinan,31360.18
Jawa Timur,Hutan Produksi,Limbah,Rimba Campuran,Veneer,Chipwood,51190.76
Kalimantan Barat,Hutan Produksi,Kayu Alam,Kayu Indah,Veneer,Kerajinan,1392.01
Kalimantan Selatan,IUPHHK HA,Kayu Tanaman,Kayu Eboni,Veneer,Pulp,1659.34
Kalimantan Tengah,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Veneer,Furnitur Kayu,2124.16
Kalimantan Timur,Hutan Produksi,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Woodworking,3869.48
Kalimantan Utara,UPHHK HTR,Kayu Alam,Rimba Campuran,Veneer,Veneer,282.31
Lampung,Hutan Produksi,Kayu Alam,Hutan Tanaman Industri,Veneer,Veneer,1974.76
Maluku,IUPHHK RE,Kayu Alam,Hutan Tanaman Industri,Veneer,Woodworking,70.59
Papua,Hutan Produksi,Kayu Perkebunan,Jenis Khusus,Veneer,Chipwood,5612.55
Sulawesi Selatan,Hutan Produksi,Limbah,Kayu Eboni,Veneer,Panel,4152.24
Sumatera Selatan,IUPHHK HA,Limbah,Hutan Tanaman Industri,Veneer,Chipwood,2214.87
Sumatera Utara,IUPHHK RE,Kayu Alam,Hutan Tanaman Industri,Veneer,Paper,1458.79
Aceh,IUPHHK HTI,Kayu Tanaman,Rimba Campuran,Veneer,Kerajinan,669.79
Bali,IUPHHK RE,Limbah,Jenis Khusus,Veneer,Panel,379.19
Banten,IUPHHK RE,Limbah,Jenis Khusus,Veneer,Bangunan Prefabrikasi,173.72
Daerah Istimewa Yogyakarta,UPHHK HTR,Setengah Jadi,Jenis Kayu Lainnya,Veneer,Chipwood,165.81
Jambi,UPHHK HTR,Kayu Tanaman,Jenis Khusus,Veneer,Pulp,3975.09
Jawa Barat,IUPHHK RE,Kayu Tanaman,Jenis Khusus,Veneer,Furnitur Kayu,6935.83
Jawa Tengah,HKM HD HTR,Kayu Tanaman,Kayu Eboni,Veneer,Veneer,36358.91
Jawa Timur,UPHHK HTR,Kayu Alam,Hutan Tanaman Industri,Veneer,Woodworking,63417.91
Kalimantan Barat,IUPHHK HA,Kayu Tanaman,Jenis Khusus,Veneer,Pulp,2133.26
Kalimantan Selatan,IUPHHK HA,Kayu Tanaman,Rimba Campuran,Veneer,Kerajinan,1532.22
Kalimantan Tengah,IUPHHK RE,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Paper,2419.36
Kalimantan Timur,Hutan Produksi,Limbah,Kayu Indah,Veneer,Kerajinan,4338.9
Kalimantan Utara,Hutan Lindung,Limbah,Jenis Khusus,Veneer,Veneer,343.42
Lampung,Hutan Lindung,Kayu Alam,Kayu Eboni,Veneer,Paper,2363.86
Maluku,HKM HD Kemitraan,Kayu Perkebunan,Kayu Eboni,Veneer,Furnitur Kayu,0.0
Papua,Hutan Produksi,Kayu Perkebunan,Kayu Eboni,Veneer,Veneer,6757.81
Sulawesi Selatan,Hutan Lindung,Limbah,Kelompok Meranti,Veneer,Kerajinan,4162.09
Sumatera Selatan,Hutan Lindung,Kayu Alam,Jenis Khusus,Veneer,Pulp,2463.49
Sumatera Utara,HKM HD Kemitraan,Limbah,Kelompok Meranti,Veneer,Panel,2425.92
Aceh,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Veneer,Furnitur Kayu,423.25
Bali,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Veneer,Kerajinan,358.15
Banten,Hutan Produksi,Setengah Jadi,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,186.7
Daerah Istimewa Yogyakarta,HKM HD HTR,Kayu Tanaman,Kayu Eboni,Veneer,Paper,169.16
Jambi,HKM HD Kemitraan,Kayu Perkebunan,Jenis Khusus,Veneer,Pulp,4359.83
Jawa Barat,Hutan Produksi,Setengah Jadi,Kayu Eboni,Veneer,Panel,5438.95
Jawa Tengah,UPHHK HTR,Kayu Tanaman,Kayu Indah,Veneer,Bangunan Prefabrikasi,36017.48
Jawa Timur,IUPHHK RE,Kayu Tanaman,Rimba Campuran,Veneer,Furnitur Kayu,63415.09
Kalimantan Barat,HKM HD HTR,Limbah,Hutan Tanaman Industri,Veneer,Pulp,1949.89
Kalimantan Selatan,HKM HD HTR,Kayu Alam,Jenis Khusus,Veneer,Paper,1259.32
Kalimantan Tengah,IUPHHK HA,Setengah Jadi,Rimba Campuran,Veneer,Paper,3893.93
Kalimantan Timur,Hutan Lindung,Kayu Tanaman,Kayu Indah,Veneer,Chipwood,4679.6
Kalimantan Utara,IUPHHK HA,Limbah,Jenis Khusus,Veneer,Kerajinan,388.69
Lampung,Hutan Lindung,Kayu Alam,Jenis Khusus,Veneer,Chipwood,2234.62
Maluku,UPHHK HTR,Limbah,Kayu Eboni,Veneer,Bangunan Prefabrikasi,71.98
Papua,UPHHK HTR,Kayu Perkebunan,Hutan Tanaman Industri,Veneer,Kerajinan,6166.4
Sulawesi Selatan,IUPHHK HTI,Kayu Tanaman,Jenis Khusus,Veneer,Kerajinan,5082.9
Sumatera Selatan,HKM HD Kemitraan,Kayu Alam,Jenis Kayu Lainnya,Veneer,Paper,2042.98
Sumatera Utara,IUPHHK HA,Limbah,Hutan Tanaman Industri,Veneer,Paper,2076.68
Aceh,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Veneer,Paper,398.28
Bali,HKM HD Kemitraan,Kayu Alam,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,705.12
Banten,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Veneer,Chipwood,196.04
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Setengah Jadi,Kelompok Meranti,Veneer,Paper,110.29
Jambi,HKM HD Kemitraan,Limbah,Hutan Tanaman Industri,Veneer,Pulp,2719.29
Jawa Barat,HKM HD HTR,Kayu Alam,Kayu Eboni,Veneer,Woodworking,3114.35
Jawa Tengah,Hutan Produksi,Setengah Jadi,Jenis Khusus,Veneer,Veneer,26994.44
Jawa Timur,Hutan Lindung,Kayu Perkebunan,Hutan Tanaman Industri,Veneer,Panel,48081.41
Kalimantan Barat,Hutan Produksi,Setengah Jadi,Kayu Indah,Veneer,Woodworking,1519.19
Kalimantan Selatan,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Veneer,Woodworking,1274.0
Kalimantan Tengah,IUPHHK HTI,Kayu Alam,Jenis Kayu Lainnya,Veneer,Paper,2816.33
Kalimantan Timur,HKM HD HTR,Kayu Tanaman,Kayu Indah,Veneer,Chipwood,4889.43
Kalimantan Utara,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Chipwood,323.15
Lampung,HKM HD HTR,Kayu Alam,Rimba Campuran,Veneer,Kerajinan,1963.6
Maluku,Hutan Lindung,Setengah Jadi,Jenis Khusus,Veneer,Pulp,297.56
Papua,IUPHHK RE,Kayu Alam,Jenis Kayu Lainnya,Veneer,Paper,5811.78
Sulawesi Selatan,UPHHK HTR,Limbah,Rimba Campuran,Veneer,Chipwood,3864.02
Sumatera Selatan,IUPHHK HTI,Kayu Tanaman,Kayu Indah,Veneer,Chipwood,1925.53
Sumatera Utara,HKM HD Kemitraan,Kayu Tanaman,Kelompok Meranti,Veneer,Chipwood,1682.13
Aceh,Hutan Lindung,Kayu Alam,Kelompok Meranti,Veneer,Chipwood,421.23
Bali,HKM HD HTR,Kayu Alam,Rimba Campuran,Veneer,Bangunan Prefabrikasi,972.06
Banten,HKM HD HTR,Setengah Jadi,Jenis Khusus,Veneer,Kerajinan,161.37
Daerah Istimewa Yogyakarta,Hutan Lindung,Kayu Alam,Jenis Khusus,Veneer,Pulp,177.62
Jambi,IUPHHK HA,Setengah Jadi,Kayu Eboni,Veneer,Bangunan Prefabrikasi,4919.82
Jawa Barat,HKM HD Kemitraan,Limbah,Kelompok Meranti,Veneer,Panel,2921.22
Jawa Tengah,HKM HD Kemitraan,Kayu Tanaman,Kayu Indah,Veneer,Pulp,39307.75
Jawa Timur,IUPHHK HA,Limbah,Hutan Tanaman Industri,Veneer,Paper,66165.33
Kalimantan Barat,HKM HD HTR,Kayu Alam,Kelompok Meranti,Veneer,Paper,2557.78
Kalimantan Selatan,Hutan Lindung,Kayu Alam,Kelompok Meranti,Veneer,Paper,2181.14
Kalimantan Tengah,Hutan Lindung,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Pulp,3703.41
Kalimantan Timur,IUPHHK RE,Kayu Tanaman,Kayu Indah,Veneer,Furnitur Kayu,3887.44
Kalimantan Utara,UPHHK HTR,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Paper,518.99
Lampung,HKM HD HTR,Kayu Perkebunan,Rimba Campuran,Veneer,Furnitur Kayu,2663.19
Maluku,IUPHHK RE,Limbah,Kayu Indah,Veneer,Woodworking,480.57
Papua,IUPHHK HA,Kayu Tanaman,Rimba Campuran,Veneer,Chipwood,7090.61
Sulawesi Selatan,UPHHK HTR,Limbah,Hutan Tanaman Industri,Veneer,Panel,3219.84
Sumatera Selatan,IUPHHK RE,Kayu Alam,Jenis Kayu Lainnya,Veneer,Pulp,2671.76
Sumatera Utara,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Veneer,Veneer,1867.33
Aceh,Hutan Lindung,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,503.39
Bali,HKM HD Kemitraan,Kayu Perkebunan,Jenis Khusus,Veneer,Bangunan Prefabrikasi,358.44
Banten,HKM HD HTR,Setengah Jadi,Jenis Kayu Lainnya,Veneer,Kerajinan,146.13
Daerah Istimewa Yogyakarta,Hutan Lindung,Kayu Tanaman,Kelompok Meranti,Veneer,Chipwood,179.61
Jambi,IUPHHK RE,Limbah,Kelompok Meranti,Veneer,Kerajinan,4909.9
Jawa Barat,IUPHHK HA,Kayu Tanaman,Rimba Campuran,Veneer,Woodworking,2916.98
Jawa Tengah,Hutan Produksi,Setengah Jadi,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,36222.44
Jawa Timur,Hutan Lindung,Kayu Tanaman,Kayu Indah,Veneer,Woodworking,64254.3
Kalimantan Barat,IUPHHK HA,Kayu Perkebunan,Hutan Tanaman Industri,Veneer,Kerajinan,1183.54
Kalimantan Selatan,Hutan Lindung,Kayu Alam,Rimba Campuran,Veneer,Kerajinan,2863.27
Kalimantan Tengah,IUPHHK RE,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Veneer,3974.43
Kalimantan Timur,HKM HD Kemitraan,Kayu Alam,Jenis Khusus,Veneer,Panel,3957.77
Kalimantan Utara,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Veneer,Woodworking,341.52
Lampung,UPHHK HTR,Kayu Alam,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,2966.92
Maluku,IUPHHK HTI,Kayu Alam,Kayu Indah,Veneer,Panel,574.53
Papua,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,5325.58
Sulawesi Selatan,IUPHHK HTI,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Kerajinan,2644.28
Sumatera Selatan,HKM HD HTR,Setengah Jadi,Kelompok Meranti,Veneer,Bangunan Prefabrikasi,3301.54
Sumatera Utara,IUPHHK HA,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Pulp,2855.33
Aceh,HKM HD Kemitraan,Setengah Jadi,Hutan Tanaman Industri,Veneer,Panel,499.16
Bali,IUPHHK RE,Kayu Alam,Kayu Indah,Veneer,Kerajinan,352.83
Banten,Hutan Lindung,Kayu Tanaman,Kayu Indah,Veneer,Panel,173.14
Daerah Istimewa Yogyakarta,IUPHHK HA,Limbah,Kayu Indah,Veneer,Veneer,172.26
Jambi,HKM HD HTR,Kayu Tanaman,Jenis Khusus,Veneer,Veneer,5796.73
Jawa Barat,Hutan Lindung,Kayu Alam,Kayu Eboni,Veneer,Paper,3076.68
Jawa Tengah,IUPHHK HTI,Limbah,Rimba Campuran,Veneer,Kerajinan,39005.7
Jawa Timur,IUPHHK RE,Kayu Alam,Jenis Kayu Lainnya,Veneer,Chipwood,63879.89
Kalimantan Barat,Hutan Lindung,Kayu Tanaman,Kelompok Meranti,Veneer,Paper,1619.27
Kalimantan Selatan,UPHHK HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Veneer,Panel,4515.99
Kalimantan Tengah,UPHHK HTR,Kayu Alam,Jenis Kayu Lainnya,Veneer,Chipwood,3200.63
Kalimantan Timur,IUPHHK HA,Limbah,Hutan Tanaman Industri,Veneer,Kerajinan,4546.78
Kalimantan Utara,IUPHHK RE,Setengah Jadi,Jenis Kayu Lainnya,Veneer,Paper,446.49
Lampung,IUPHHK HA,Kayu Tanaman,Hutan Tanaman Industri,Veneer,Panel,2891.4
Maluku,IUPHHK HA,Kayu Tanaman,Rimba Campuran,Veneer,Chipwood,722.53
Papua,UPHHK HTR,Kayu Tanaman,Rimba Campuran,Veneer,Panel,6763.0
